calibs_file,calibration_id,calibs_start,calibs_stop,extrinsic,checker_size,comment,temporal_step,with_distortion,csv_source,row_number,n_corners,calibs_path,north,center,blur,calibs_fullfile,calibs_recording_datetime,center_ij,north_ij,n,reprojection,projection,distance,inverse
20230118_mirror_dance10_dance_ID139.MTS,20230118_mirror_dance10_dance_ID139.MTS,218.0,234.0,220.5,3.9,*board never really flat on ground throughout video,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,71,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID139.MTS,2023-01-18T15:46:42.0,,,7.0,0.7146821282841974,0.08070898735468311,0.11228940648940752,1.5568685270529633e-12
20230118_mirror_dance10_dance_ID140.MTS,20230118_mirror_dance10_dance_ID140.MTS,225.0,243.0,226.7,3.9,*board never really flat on ground throughout video,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,72,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID140.MTS,2023-01-18T15:54:00.0,,,10.0,1.2839516752209656,0.12441997154340283,0.1570865896865279,2.2484403874860283e-12
20231115_10_dances_01_midroll_B01.MTS,20231115_10_dances_01_midroll_B01.MTS,322.0,332.0,323.0,4.1,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,73,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_10_dances_01_midroll_B01.MTS,2023-11-15T08:22:30.0,,,5.0,1.152886408979558,0.1908796810116812,0.3103726012152418,3.9044769891693104e-13
20231115_10_dances_05_midroll_B09.MTS,20231115_10_dances_05_midroll_B09.MTS,176.0,184.0,177.059,4.1,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,75,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_10_dances_05_midroll_B09.MTS,2023-11-15T14:01:47.0,,,3.0,1.04928419191695,0.18557284414933461,0.2765130271590555,1.927508793685463e-12
20231115_10_dances_06_spontaneous_B12.MTS,20231115_10_dances_06_spontaneous_B12.MTS,190.0,201.0,191.65,4.1,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,76,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_10_dances_06_spontaneous_B12.MTS,2023-11-15T14:32:59.0,,,6.0,0.9528149471832454,0.12026821337226565,0.19223302589064825,5.525824186666285e-13
20231115_10_dances_07_midroll_B15.MTS,20231115_10_dances_07_midroll_B15.MTS,184.0,201.0,198.478,4.1,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,77,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_10_dances_07_midroll_B15.MTS,2023-11-15T15:02:33.0,,,8.0,1.1737515845234605,0.14067335569321576,0.18851921165925598,4.0430816910735073e-13
20231115_01_dances_01_spontaneous_B02.MTS,20231115_01_dances_01_spontaneous_B02.MTS,282.0,290.0,283.472,4.1,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,79,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_01_dances_01_spontaneous_B02.MTS,2023-11-15T08:39:55.0,,,5.0,0.8103864765323467,0.12132568327319627,0.20164631958851997,6.665261402858976e-13
20231115_01_dances_03_midroll_B06.MTS,20231115_01_dances_03_midroll_B06.MTS,365.0,372.0,369.161,4.1,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,81,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_01_dances_03_midroll_B06.MTS,2023-11-15T09:19:56.0,,,5.0,2.2103450767400528,0.2437208171668914,0.3049129805822227,1.3891370705810941e-12
20231115_01_dances_04_spontaneous_B08.MTS,20231115_01_dances_04_spontaneous_B08.MTS,240.0,248.0,246.645,4.1,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,82,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_01_dances_04_spontaneous_B08.MTS,2023-11-15T09:41:54.0,,,2.0,0.29400688270704783,0.04971464260603458,0.06686927101825135,4.806830018190209e-13
20231115_01_dances_05_spontaneous_B10.MTS,20231115_01_dances_05_spontaneous_B10.MTS,125.0,135.0,127.454,4.1,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,83,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_01_dances_05_spontaneous_B10.MTS,2023-11-15T14:13:20.0,,,6.0,1.0983598680479953,0.17593718303576858,0.28488276428684406,2.802948794087526e-12
