index,condition,elevation,nr_in_cond,individual,year_extracted,person_extracted,total_rotation,go_down_angle_FACE,exit_angle_BUTT,rotation_category,placed_from_angle_FACE,nr_direction_changes,rotation_1_direction,full_lap_1,stop_1_angle_FACE,rotation_2_direction,full_lap_2,stop_2_angle_FACE,rotation_3_direction,full_lap_3,stop_3_angle_FACE
133,LED,75,1,#01_20170411,2025,Elin,180,105,350,ccw,285,0,ccw,0,105,,,,,,
134,LED,75,2,#02_20170411,2025,Elin,145,260,330,cw,115,0,cw,0,260,,,,,,
135,LED,75,3,#03_20170411,2025,Elin,240,10,170,both,180,1,ccw,0,155,cw,0,10,,,
136,LED,75,4,#04_20170411,2025,Elin,95,335,80,ccw,70,0,ccw,0,335,,,,,,
137,LED,75,5,#05_20170411,2025,Elin,20,95,315,cw,75,0,cw,0,95,,,,,,
138,LED,75,6,#06_20170412,2025,Elin,170,85,320,ccw,255,0,ccw,0,85,,,,,,
139,LED,75,7,#07_20170412,2025,Elin,285,65,295,ccw,350,0,ccw,0,65,,,,,,
140,LED,75,8,#08_20170412,2025,Elin,105,95,290,cw,350,0,cw,0,95,,,,,,
141,LED,75,9,#09_20170412,2025,Elin,30,55,220,both,55,1,cw,0,70,ccw,0,55,,,
142,LED,75,10,#10_20170412,2025,Elin,190,20,120,both,140,1,cw,0,175,ccw,0,20,,,
143,LED,75,11,#11_20170412,2025,Elin,135,240,95,both,185,1,ccw,0,145,cw,0,240,,,
144,LED,75,12,#12_20170412,2025,Elin,315,240,80,cw,285,0,cw,0,240,,,,,,
145,LED,75,13,#13_20170418,2025,Elin,255,255,80,cw,0,0,cw,0,255,,,,,,
146,LED,75,14,#14_20170418,2025,Elin,275,210,15,ccw,125,0,ccw,0,210,,,,,,
147,LED,75,15,#15_20170418,2025,Elin,190,110,310,ccw,300,0,ccw,0,110,,,,,,
148,LED,75,16,#16_20170418,2025,Elin,120,60,185,cw,300,0,cw,0,60,,,,,,
149,LED,75,17,#17_20170418,2025,Elin,130,100,245,ccw,230,0,ccw,0,100,,,,,,
150,LED,75,18,#18_20170418,2025,Elin,NA,,,,,,,,,,,,,,
151,LED,75,19,#19_20170418,2025,Elin,100,330,210,ccw,70,0,ccw,0,330,,,,,,
152,LED,75,20,#20_20170418,2025,Elin,80,105,310,cw,25,0,cw,0,105,,,,,,
153,LED,75,21,#21_20170419,2025,Elin,280,75,245,ccw,355,0,ccw,0,75,,,,,,
154,LED,75,22,#22_20170419,2025,Elin,450,40,225,cw,310,0,cw,1,40,,,,,,
155,LED,75,23,#23_20170419,2025,Elin,185,120,295,ccw,305,0,ccw,0,120,,,,,,
156,LED,75,24,#24_20170419,2025,Elin,155,125,300,cw,330,0,cw,0,125,,,,,,
157,LED,75,25,#25_20170419,2025,Elin,430,155,330,ccw,225,0,ccw,1,155,,,,,,
158,LED,75,26,#26_20170419,2025,Elin,275,40,245,both,195,1,ccw,0,160,cw,0,40,,,
159,LED,75,27,#27_20170419,2025,Elin,220,85,295,cw,225,0,cw,0,85,,,,,,
160,LED,75,28,#28_20170419,2025,Elin,25,155,355,cw,130,0,cw,0,155,,,,,,
161,LED,75,29,#29_20170419,2025,Elin,55,340,335,cw,285,0,cw,0,340,,,,,,
162,LED,75,30,#30_20170419,2025,Elin,105,350,320,cw,245,0,cw,0,350,,,,,,
163,LED,75,31,#31_20170419,2025,Elin,75,65,195,cw,350,0,cw,0,65,,,,,,
164,LED,75,32,#32_20170419,2025,Elin,385,260,160,ccw,285,0,ccw,1,260,,,,,,
165,LED,80,1,#01_20170509,2025,Elin,120,235,310,both,135,1,ccw,0,125,cw,0,235,,,
166,LED,80,2,#02_20170509,2025,Elin,535,350,180,both,215,1,ccw,0,195,cw,1,350,,,
