placed,exit,elevation,id,abs_total,category,nr_direction_changes,rotation_1_direction,full_lap_1,stop_1_angle_FACE,rotation_2_direction,full_lap_2,stop_2_angle_FACE,rotation_3_direction,full_lap_3,stop_3_angle_FACE,cw1,cw2,cw3,dance1,dance2,dance3,minimized_rotation,placed_from_left,shorter_direction1,lap,changed_direction,residual1,too_close
50,75,60,#28_20170419,50,ccw,0,ccw,0,100,,,,,,,false,,,-50,,,true,false,true,false,false,-180,false
335,255,60,#29_20170419,25,cw,0,cw,0,345,,,,,,,true,,,25,,,true,true,true,false,false,0,false
80,30,60,#30_20170419,80,ccw,0,ccw,0,220,,,,,,,false,,,-80,,,true,false,true,false,false,-180,false
330,325,60,#31_20170419,30,cw,0,cw,0,15,,,,,,,true,,,30,,,true,true,true,false,false,0,false
255,325,60,#32_20170419,255,ccw,0,ccw,0,340,,,,,,,false,,,-255,,,false,true,false,false,false,-180,false
180,65,75,#01_20170411,180,ccw,0,ccw,0,105,,,,,,,false,,,-180,,,true,false,true,false,false,-180,false
215,250,75,#02_20170411,145,cw,0,cw,0,260,,,,,,,true,,,145,,,true,true,true,false,false,0,false
170,340,75,#03_20170411,240,both,1,ccw,0,155,cw,0,10,,,,false,true,,-25,215,,false,false,true,false,true,-35,false
95,285,75,#04_20170411,95,ccw,0,ccw,0,335,,,,,,,false,,,-95,,,true,false,true,false,false,-180,false
340,40,75,#05_20170411,20,cw,0,cw,0,95,,,,,,,true,,,20,,,true,true,true,false,false,0,false
170,55,75,#06_20170412,170,ccw,0,ccw,0,85,,,,,,,false,,,-170,,,true,false,true,false,false,-180,false
285,50,75,#07_20170412,285,ccw,0,ccw,0,65,,,,,,,false,,,-285,,,false,true,false,false,false,-180,false
255,15,75,#08_20170412,105,cw,0,cw,0,95,,,,,,,true,,,105,,,true,true,true,false,false,0,false
0,345,75,#09_20170412,30,both,1,cw,0,70,ccw,0,55,,,,true,false,,15,-15,,false,false,false,false,true,15,true
120,280,75,#10_20170412,190,both,1,cw,0,175,ccw,0,20,,,,true,false,,35,-155,,false,false,false,false,true,155,false
305,35,75,#11_20170412,135,both,1,ccw,0,145,cw,0,240,,,,false,true,,-40,95,,false,true,false,false,true,95,false
45,20,75,#12_20170412,315,cw,0,cw,0,240,,,,,,,true,,,315,,,false,false,false,false,false,0,false
105,5,75,#13_20170418,255,cw,0,cw,0,255,,,,,,,true,,,255,,,false,false,false,false,false,0,false
275,345,75,#14_20170418,275,ccw,0,ccw,0,210,,,,,,,false,,,-275,,,false,true,false,false,false,-180,false
190,20,75,#15_20170418,190,ccw,0,ccw,0,110,,,,,,,false,,,-190,,,false,true,false,false,false,-180,false
240,305,75,#16_20170418,120,cw,0,cw,0,60,,,,,,,true,,,120,,,true,true,true,false,false,0,false
130,325,75,#17_20170418,130,ccw,0,ccw,0,100,,,,,,,false,,,-130,,,true,false,true,false,false,-180,false
100,60,75,#19_20170418,100,ccw,0,ccw,0,330,,,,,,,false,,,-100,,,true,false,true,false,false,-180,false
280,25,75,#20_20170418,80,cw,0,cw,0,105,,,,,,,true,,,80,,,true,true,true,false,false,0,false
280,350,75,#21_20170419,280,ccw,0,ccw,0,75,,,,,,,false,,,-280,,,false,true,false,false,false,-180,false
270,5,75,#22_20170419,450,cw,0,cw,1,40,,,,,,,true,,,450,,,false,true,true,true,false,0,false
185,355,75,#23_20170419,185,ccw,0,ccw,0,120,,,,,,,false,,,-185,,,false,true,false,false,false,-180,false
205,355,75,#24_20170419,155,cw,0,cw,0,125,,,,,,,true,,,155,,,true,true,true,false,false,0,false
70,355,75,#25_20170419,430,ccw,0,ccw,1,155,,,,,,,false,,,-430,,,false,false,true,true,false,-180,false
155,25,75,#26_20170419,275,both,1,ccw,0,160,cw,0,40,,,,false,true,,-35,240,,false,false,true,false,true,-60,false
140,30,75,#27_20170419,220,cw,0,cw,0,85,,,,,,,true,,,220,,,false,false,false,false,false,0,false
335,20,75,#28_20170419,25,cw,0,cw,0,155,,,,,,,true,,,25,,,true,true,true,false,false,0,false
305,175,75,#29_20170419,55,cw,0,cw,0,340,,,,,,,true,,,55,,,true,true,true,false,false,0,false
255,150,75,#30_20170419,105,cw,0,cw,0,350,,,,,,,true,,,105,,,true,true,true,false,false,0,false
285,310,75,#31_20170419,75,cw,0,cw,0,65,,,,,,,true,,,75,,,true,true,true,false,false,0,false
25,80,75,#32_20170419,385,ccw,0,ccw,1,260,,,,,,,false,,,-385,,,false,false,true,true,false,-180,false
