individual_number;placed from;placed from angle (degrees);rotation 1 direction;full lap;go down angle (degrees);rotation category measured;exit angle (degrees);smallest possible angle (degrees);smallest absolute angle (degrees);total absolute degrees of rotation;initial exit
24;cw;20;ccw;0;225;ccw;210;-155;155;155;305
25;cw;15;cw;0;355;both;310;-20;20;180;260
25;ccw;130;ccw;0;310;ccw;315;180;180;180;260
25;cw;20;cw;0;195;cw;180;175;175;175;260
25;ccw;140;cw;0;205;cw;205;65;65;65;260
25;cw;30;ccw;0;220;ccw;255;-170;170;170;260
25;ccw;195;cw;0;220;cw;265;25;25;25;260
25;cw;325;ccw;0;240;ccw;245;-85;85;85;260
25;ccw;130;cw;0;160;cw;160;30;30;30;260
25;cw;325;cw;0;185;cw;245;-140;140;220;260
25;ccw;190;cw;0;310;cw;310;120;120;120;260
26;ccw;120;cw;0;280;both;250;160;160;540;210
26;cw;340;ccw;1;300;ccw;315;-40;40;400;210
26;ccw;145;cw;0;310;cw;270;165;165;165;210
26;cw;330;ccw;0;230;ccw;230;-100;100;100;210
26;ccw;120;cw;0;260;cw;345;140;140;140;210
26;cw;305;ccw;0;355;ccw;330;50;50;310;210
26;ccw;120;cw;0;0;cw;355;-120;120;240;210
26;cw;300;ccw;0;50;ccw;10;110;110;250;210
26;ccw;130;cw;0;25;cw;10;-105;105;255;210
26;cw;295;ccw;0;85;ccw;65;150;150;210;210
27;cw;340;cw;0;195;both;165;-145;145;285;220
27;ccw;105;cw;1;155;cw;175;50;50;410;220
27;cw;340;cw;0;145;cw;165;165;165;165;220
27;ccw;110;cw;1;150;cw;150;40;40;400;220
27;cw;345;cw;0;90;cw;110;105;105;105;220
27;ccw;90;ccw;0;215;ccw;250;125;125;235;220
27;cw;300;ccw;0;205;ccw;160;-95;95;95;220
27;ccw;110;cw;0;205;both;180;95;95;235;220
27;cw;315;ccw;0;165;ccw;160;-150;150;150;220
27;ccw;110;cw;0;260;cw;265;150;150;150;220
28;ccw;110;ccw;0;0;ccw;235;-110;110;110;210
28;cw;305;ccw;0;200;ccw;190;-105;105;105;210
28;ccw;85;ccw;0;265;ccw;295;180;180;180;210
28;cw;310;cw;0;335;cw;300;25;25;25;210
28;ccw;90;cw;0;265;cw;270;175;175;175;210
28;cw;290;ccw;0;265;ccw;275;-25;25;25;210
28;ccw;135;ccw;0;315;ccw;300;180;180;180;210
28;cw;285;cw;0;300;cw;295;15;15;15;210
28;ccw;125;ccw;0;325;ccw;310;-160;160;160;210
28;cw;315;ccw;0;305;ccw;295;-10;10;10;210
29;cw;80;ccw;0;35;ccw;345;-45;45;45;335
29;ccw;245;cw;0;320;cw;270;75;75;75;335
29;cw;50;ccw;0;275;ccw;270;-135;135;135;335
29;ccw;245;cw;0;275;cw;195;30;30;30;335
29;cw;95;ccw;0;285;ccw;195;-170;170;170;335
29;ccw;280;ccw;0;270;ccw;275;-10;10;10;335
29;cw;85;ccw;0;210;ccw;185;125;125;235;335
29;ccw;305;ccw;1;275;ccw;230;-30;30;390;335
29;cw;75;ccw;0;275;ccw;230;-160;160;160;335
29;ccw;245;cw;0;225;cw;265;-20;20;340;335
30;ccw;345;cw;0;145;cw;195;160;160;160;130
30;cw;225;ccw;0;185;ccw;205;-40;40;40;130
30;ccw;75;cw;0;260;cw;230;-175;175;185;130
30;cw;250;ccw;0;225;ccw;225;-25;25;25;130
30;ccw;35;ccw;0;250;ccw;230;-145;145;145;130
30;cw;220;cw;0;270;cw;235;50;50;50;130
30;ccw;25;ccw;0;260;ccw;235;-125;125;125;130
30;cw;210;cw;0;275;cw;235;65;65;65;130
30;ccw;0;ccw;0;290;ccw;230;-70;70;70;130
30;cw;220;cw;0;280;cw;230;60;60;60;130
