index;beetle;individual_number;date;video 2 name;run number;placed from;placed from angle theoretical (degrees);start time;placed from angle (degrees);rotation 1 direction;rotation 1 full lap? (degrees);angle before direction change 1 (degrees);rotation 2 direction;rotation 2 full lap? (degrees);angle before direction change 2 (degrees);rotation 3 direction;rotation 3 full lap? (degrees);end time;go down angle (degrees);rotation category manual;rotation category measured;exit angle (degrees);comment;smallest possible angle (degrees);smallest possible direction;smallest possible rotation large;smallest absolute angle (degrees);end angle for rotation 1 (degrees);end angle for rotation 2 (degrees);degrees rotation 1;degrees rotation 2;degrees rotation 3;total absolute degrees of rotation
83;9;9;20221119;FirstVsSubsequent_20221119_cam2_06/FirstVsSubsequent_20221119_cam2_07;1;ccw;135,00;00:17:59;130;ccw;-360;;;;;;;00:00:03;55;ccw;ccw;75;;-75;ccw;0;75;55;55;-435;0;0;435
84;9;9;20221119;FirstVsSubsequent_20221119_cam2_07;2;cw;315,00;00:00:19;295;cw;;;;;;;;00:00:21;90;cw;cw;100;;155;cw;0;155;90;90;155;0;0;155
85;9;9;20221119;FirstVsSubsequent_20221119_cam2_07;3;ccw;135,00;00:00:44;135;ccw;;;;;;;;00:00:46;80;no;ccw;95;;-55;ccw;0;55;80;80;-55;0;0;55
86;9;9;20221119;FirstVsSubsequent_20221119_cam2_07;4;cw;315,00;00:01:04;310;cw;;;;;;;;00:01:06;90;cw;cw;90;;140;cw;0;140;90;90;140;0;0;140
87;9;9;20221119;FirstVsSubsequent_20221119_cam2_07;5;ccw;135,00;00:01:25;150;ccw;;;;;;;;00:01:26;20;ccw;ccw;70;;-130;ccw;0;130;20;20;-130;0;0;130
88;9;9;20221119;FirstVsSubsequent_20221119_cam2_07;6;cw;315,00;00:01:42;325;cw;;;;;;;;00:01:43;110;cw;cw;85;;145;cw;0;145;110;110;145;0;0;145
89;9;9;20221119;FirstVsSubsequent_20221119_cam2_07;7;ccw;135,00;00:02:00;155;ccw;;;;;;;;00:02:02;15;ccw;ccw;10;;-140;ccw;0;140;15;15;-140;0;0;140
90;9;9;20221119;FirstVsSubsequent_20221119_cam2_07;8;cw;315,00;00:02:14;325;cw;;;;;;;;00:02:15;95;cw;cw;85;;130;cw;0;130;95;95;130;0;0;130
91;9;9;20221119;FirstVsSubsequent_20221119_cam2_07;9;ccw;135,00;00:02:28;160;ccw;;;;;;;;00:02:29;50;ccw;ccw;50;;-110;ccw;0;110;50;50;-110;0;0;110
92;9;9;20221119;FirstVsSubsequent_20221119_cam2_07;10;cw;315,00;00:02:41;340;cw;;;;;;;;00:02:42;95;cw;cw;85;;115;cw;0;115;95;95;115;0;0;115
93;10;10;20221119;FirstVsSubsequent_20221119_cam2_07;1;cw;90,00;00:03:21;90;cw;;;;;;;;00:03:30;300;cw;cw;10;;-150;ccw;0;150;300;300;210;0;0;210
94;10;10;20221119;FirstVsSubsequent_20221119_cam2_07;2;ccw;270,00;00:03:47;290;cw;;;;;;;;00:03:51;350;cw;cw;10;;60;cw;0;60;350;350;60;0;0;60
95;10;10;20221119;FirstVsSubsequent_20221119_cam2_07;3;cw;90,00;00:04:08;115;ccw;;;;;;;;00:04:12;45;ccw;ccw;10;;-70;ccw;0;70;45;45;-70;0;0;70
96;10;10;20221119;FirstVsSubsequent_20221119_cam2_07;4;ccw;270,00;00:04:28;305;cw;;;;;;;;00:04:29;35;cw;cw;20;;90;cw;0;90;35;35;90;0;0;90
97;10;10;20221119;FirstVsSubsequent_20221119_cam2_07;5;cw;90,00;00:04:49;65;ccw;;;;;;;;00:04:51;330;ccw;ccw;355;;-95;ccw;0;95;330;330;-95;0;0;95
98;10;10;20221119;FirstVsSubsequent_20221119_cam2_07;6;ccw;270,00;00:05:08;260;cw;;;;;;;;00:05:09;35;cw;cw;10;;135;cw;0;135;35;35;135;0;0;135
99;10;10;20221119;FirstVsSubsequent_20221119_cam2_07;7;cw;90,00;00:05:21;85;ccw;;;;;;;;00:05:23;0;ccw;ccw;10;;-85;ccw;0;85;0;0;-85;0;0;85
100;10;10;20221119;FirstVsSubsequent_20221119_cam2_07;8;ccw;270,00;00:05:37;315;cw;;;;;;;;00:05:37;335;no;cw;30;;20;cw;0;20;335;335;20;0;0;20
101;10;10;20221119;FirstVsSubsequent_20221119_cam2_07;9;cw;90,00;00:05:51;70;cw;;;;;;;;00:05:54;0;cw;cw;355;;-70;ccw;0;70;0;0;290;0;0;290
102;10;10;20221119;FirstVsSubsequent_20221119_cam2_07;10;ccw;270,00;00:06:08;200;cw;;;;;;;;00:06:10;30;cw;cw;10;;-170;ccw;1;170;30;30;190;0;0;190
103;11;11;20221119;FirstVsSubsequent_20221119_cam2_07;1;cw;65,00;00:13:13;70;ccw;;;;;;;;00:13:14;5;ccw;ccw;350;;-65;ccw;0;65;5;5;-65;0;0;65
