dance_by,r,color,mean_resultant_vector,lower,upper
disrupt,22.424242424242426,"RGB{N0f8}(0.0, 0.153, 0.706)",0.18122251796211408,0.08086197078974462,0.3210539684183834
disrupt,22.656565656565657,"RGB{N0f8}(0.0, 0.153, 0.706)",0.1805174015389844,0.08004277657116023,0.3198311520766318
disrupt,22.88888888888889,"RGB{N0f8}(0.0, 0.153, 0.706)",0.17984154713892064,0.07955194864934549,0.319743444809987
disrupt,23.12121212121212,"RGB{N0f8}(0.0, 0.153, 0.706)",0.17894059899293158,0.07909019547512505,0.3189392142918645
disrupt,23.353535353535353,"RGB{N0f8}(0.0, 0.153, 0.706)",0.1781415245338089,0.07837557916246153,0.31874378644116463
disrupt,23.585858585858585,"RGB{N0f8}(0.0, 0.153, 0.706)",0.17733896994335033,0.07755848371707358,0.3182185839162936
disrupt,23.818181818181817,"RGB{N0f8}(0.0, 0.153, 0.706)",0.17659310805342132,0.07695204924937014,0.3181826316844525
disrupt,24.050505050505052,"RGB{N0f8}(0.0, 0.153, 0.706)",0.17576080177720152,0.07641004822975558,0.3174221819851464
disrupt,24.282828282828284,"RGB{N0f8}(0.0, 0.153, 0.706)",0.17492274372983127,0.0757883140659695,0.31707745571121737
disrupt,24.515151515151516,"RGB{N0f8}(0.0, 0.153, 0.706)",0.17408602892916963,0.07501116721165553,0.316698928242173
disrupt,24.747474747474747,"RGB{N0f8}(0.0, 0.153, 0.706)",0.1731846242825719,0.07432697733280309,0.315999128063887
disrupt,24.97979797979798,"RGB{N0f8}(0.0, 0.153, 0.706)",0.17235121195451575,0.07369215773773177,0.31571247087947346
